Unnamed: 0,번호,제목,저자,출판사,출판일
,32,Bacterial diversity in rhizosphere of Paspalum scrobiculatum L. (kodo millet) is revealed with shotgun metagenome sequencing and data analysis,"Prabha, Ratna; Singh, Dhananjaya P.; Verma, Mukesh K.; Sahu, Pramod; Kumar, Prafull","Elsevier Science B.V., Amsterdam",2018
,33,ANACONDAS: Data Analysis to Assess Work Activity in Simulated Control Rooms. Setting up an Observatory of Nuclear Power Plant Operation at EDF,"Filippi, G.;Saliou, G.;Pelle, P.",Pergamon,1998
,34,"Meta-analysis data concerning popularity, theory of mind and interaction in experiments","Imai, Akihito","Elsevier Science B.V., Amsterdam",2020
,35,Data analysis and representation on a general domain using eigenfunctions of Laplacian,"Saito, N.","Elsevier Science B.V., Amsterdam",2008
,36,Flow cytometric data analysis of circulating progenitor cell stability,"Mahar, Ernestine A.; Mou, Liping; Hayek, Salim S.; Quyyumi, Arshed A.; Waller, Edmund K.","Elsevier Science B.V., Amsterdam",2017
,37,"Kinetic data analysis of chaperone-like activity of Wt, R69C and D109H αB-crystallins","Ghahramani, Maryam; Yousefi, Reza; Krivandin, Alexey; Muranov, Konstantin; Kurganov, Boris; Moosavi-Movahedi, Ali Akbar","Elsevier Science B.V., Amsterdam",2020
,38,"Data analysis of molecular dynamics simulation trajectories of β-sitosterol, sonidegib and cholesterol in smoothened protein with the CHARMM36 force field","Che Omar, Mohammad Tasyriq","Elsevier Science B.V., Amsterdam",2020
,39,Data analysis on physical and mechanical properties of cassava pellets,"Oguntunde, Pelumi E.; Adejumo, Oluyemisi A.; Odetunmibi, Oluwole A.; Okagbue, Hilary I.; Adejumo, Adebowale O.","Elsevier Science B.V., Amsterdam",2018
,40,Whole transcriptome data analysis of mouse embryonic hematopoietic stem and progenitor cells that lack Geminin expression,"Patmanidi, Alexandra L.; Kanellakis, Nikolaos I.; Karamitros, Dimitris; Papadimitriou, Christos; Lygerou, Zoi; Taraviras, Stavros","Elsevier Science B.V., Amsterdam",2016
,41,LC-MS analysis data of intermediate products used to construct photodegradation pathways for bis(1H-tetrazol-5-yl)amine (H2BTA),"Halasz, Annamaria; Hawari, Jalal; Perreault, Nancy N.","Elsevier Science B.V., Amsterdam",2020
,42,Meta-analysis data for the literature on dividend smoothing,"Fernau, Erik; Hirsch, Stefan","Elsevier Science B.V., Amsterdam",2019
,43,RNA sequence analysis data of Peronospora destructor maintained on onions,"Fujiwara, Kazuki; Fujikawa, Takashi; Kawakami, Akira; Sonoda, Ryoichi; Miyasaka, Atsushi","Elsevier Science B.V., Amsterdam",2019
,44,Meta-analysis data for 104 Energy-Economy Nexus papers,"Hajko, Vladimir; Kocianova, Agata; Buli?kova, Martina","Elsevier Science B.V., Amsterdam",2017
,45,Power analysis data set for 4-Bit MOCLA adder,"Nehru, K.","Elsevier Science B.V., Amsterdam",2018
,46,Image analysis data for the study of the reactivity of the phases in Nd-Fe-B magnets etched with HCl-saturated Cyphos IL 101,"Orefice, Martina; Xu, Xuan; ?u?ek Ro?man, Kristina; ?turm, Sa?o; Binnemans, Koen","Elsevier Science B.V., Amsterdam",2020
,47,Comparative analysis data of SF1 and SF2 helicases from three domains of life,"Chaar, Wafi; Ibrahim, Hiba; Kozah, Juliana; Chamieh, Hala","Elsevier Science B.V., Amsterdam",2017
,48,In silico data analyses of the hotspot mutations of CHM gene in choroideremia disease,"Imani, Saber; Ijaz, Iqra; Shasaltaneh, Marzieh Dehghan; Fu, Shangyi; Cheng, Jingliang; Fu, Junjiang","Elsevier Science B.V., Amsterdam",2018
,49,"Data analysis on near infrared spectroscopy as a part of technology adoption for cocoa farmer in Aceh Province, Indonesia","; ; Satriyo, Purwana; Munawar, Agus Arip","Elsevier Science B.V., Amsterdam",2020
,50,Comparative analysis data of SF1 and SF2 helicases from three domains of life,"Chaar, Wafi; Ibrahim, Hiba; Kozah, Juliana; Chamieh, Hala","Elsevier Science B.V., Amsterdam",2017
,51,Qualitative and quantitative analysis data of the major constituents of Ilex paraguariensis leaves by UPLC-PDA and QTOF-MS,"Blum-Silva, Carlos Henrique; Luz, Ana Beatriz Gobbo; Nascimento, Marcus Vinicius P.S.; de Campos Facchin, Bruno Matheus; Baratto, Bruna; Frode, Tania Silvia; Sandjo, Louis Pergaud; Dalmarco, Eduardo Monguilhott; Reginatto, Flavio Henrique","Elsevier Science B.V., Amsterdam",2016
,52,Expression analysis data of T-cell surface antigen CD2 gene from rock bream (Oplegnathus fasciatus),"Cho, Dong-Hee; Kim, Mu-Chan; Park, Chan-Il","Elsevier Science B.V., Amsterdam",2019
,53,Group analysis data representing the effects of frontopolar transcranial direct current stimulation on the default mode network,"Ahn, Jeesung; Lee, Jonghyun; Han, Jin Hyuk; Kang, Min Seong; Han, Sanghoon","Elsevier Science B.V., Amsterdam",2018
,54,"CZTSxSe1?x nanocrystals: Composition dependent method of preparation, morphological characterization and cyclic voltammetry data analysis","Jadhav, Yogesh A.; Thakur, Pragati R.; Haram, Santosh K.","Elsevier Science B.V., Amsterdam",2016
,55,"CZTSxSe1?x nanocrystals: Composition dependent method of preparation, morphological characterization and cyclic voltammetry data analysis","Jadhav, Yogesh A.; Thakur, Pragati R.; Haram, Santosh K.","Elsevier Science B.V., Amsterdam",2016
,56,Flow cytometric data analysis of circulating progenitor cell stability,"Mahar, Ernestine A.; Mou, Liping; Hayek, Salim S.; Quyyumi, Arshed A.; Waller, Edmund K.","Elsevier Science B.V., Amsterdam",2017
,57,Qualitative and quantitative analysis data of the major constituents of Ilex paraguariensis leaves by UPLC-PDA and QTOF-MS,"Blum-Silva, Carlos Henrique; Luz, Ana Beatriz Gobbo; Nascimento, Marcus Vinicius P.S.; de Campos Facchin, Bruno Matheus; Baratto, Bruna; Frode, Tania Silvia; Sandjo, Louis Pergaud; Dalmarco, Eduardo Monguilhott; Reginatto, Flavio Henrique","Elsevier Science B.V., Amsterdam",2016
,58,Near infrared spectroscopy (NIRS) data analysis for a rapid and simultaneous prediction of feed nutritive parameters,"; Wajizah, Sitti; Munawar, Agus Arip","Elsevier Science B.V., Amsterdam",2020
,59,Transcriptomic data analysis and differential gene expression of antioxidant pathways in king penguin juveniles (Aptenodytes patagonicus) before and after acclimatization to marine life,"Rey, Benjamin; Degletagne, Cyril; Duchamp, Claude","Elsevier Science B.V., Amsterdam",2016
,60,Whole transcriptome data analysis of zebrafish mutants affecting muscle development,"Armant, Olivier; Gourain, Victor; Etard, Christelle; Strahle, Uwe","Elsevier Science B.V., Amsterdam",2016
,61,Data analysis for characterization of IG110 and A3 by X-Ray diffraction and Raman spectroscopy,"Wu, Huali; Gakhar, Ruchi; Chen, Allen; Zhou, Zhou; Scarlat, Raluca O.","Elsevier Science B.V., Amsterdam",2020
,62,Data analysis between controllable variables and the performance of CuS crackle based electrode,"Xu, Zijie; Li, Teng; Liu, Qian; Zhang, Fayin; Hong, Xiaodan; Xie, Shuyao; Lin, Changxu; Liu, Xiangyang; Guo, Wenxi","Elsevier Science B.V., Amsterdam",2018
,63,"Physico-mechanical analysis data in support of compatibility of chitosan/κ-carrageenan polyelectrolyte films achieved by ascorbic acid, and the thermal degradation theory of κ-carrageenan influencing the properties of its blends","Shahbazi, Mahdiyar; Ettelaie, Rammile; Rajabzadeh, Ghadir","Elsevier Science B.V., Amsterdam",2016
,64,Metabolomic analysis data of MPP+-exposed SH-SY5Y cells using CE-TOFMS,"Amo, Taku; Oji, Yutaka; Saiki, Shinji; Hattori, Nobutaka","Elsevier Science B.V., Amsterdam",2021
,65,Enabling access-privacy for random walk based data analysis applications,"Lin, P.; Candan, K. S.","Elsevier Science B.V., Amsterdam.",2007
,66,Gene expression profiling and pathway analysis data in MCF-7 and MDA-MB-231 human breast cancer cell lines treated with dioscin,"Aumsuwan, Pranapda; Khan, Shabana I.; Khan, Ikhlas A.; Walker, Larry A.; Dasmahapatra, Asok K.","Elsevier Science B.V., Amsterdam",2016
,67,Transcriptome data analyses of prostatic hyperplasia in Esr2 knockout rats,"Khristi, Vincentaben; Ghosh, Subhra; Chakravarthi, V. Praveen; Wolfe, Michael W.; Rumi, M.A. Karim","Elsevier Science B.V., Amsterdam",2019
,68,Practical Data Analysis in Chemistry,"Maeder, M.; Neuhold, Y.-M.",unknown,2007
,69,Exploratory Data Analysis,"Li Vigni, M.; Durante, C.; Cocchi, M.",unknown,2013
,70,Meta-analysis data quantifying nitrous oxides emissions from Chinese vegetable production,"Wang, Xiaozhong; Gao, Xiaopeng; Chen, Xinping","Elsevier Science B.V., Amsterdam",2018
,71,Atom probe tomography data analysis procedure for precipitate and cluster identification in a Ti-Mo steel,"Dhara, S.; Marceau, R.K.W.; Wood, K.; Dorin, T.; Timokhina, I.B.; Hodgson, P.D.","Elsevier Science B.V., Amsterdam",2018
,72,"Flow cytometry data analysis of CD34+/CD133+ stem cells in bone marrow and peripheral blood and T, B, and NK cells after hematopoietic grafting","Jaime-Perez, Jose C.; Villarreal-Villarreal, Cesar D.; Vazquez-Garza, Eduardo; Mendez-Ramirez, Nereida; Salazar-Riojas, Rosario; Gomez-Almaguer, David","Elsevier Science B.V., Amsterdam",2016
,73,Data analysis of atmospheric emission from geothermal power plants in Italy,"Ferrara, Nicola; Basosi, Riccardo; Parisi, Maria Laura","Elsevier Science B.V., Amsterdam",2019
,74,In?vitro effects of resistin on epithelial to mesenchymal transition (EMT) in MCF-7 and MDA-MB-231 breast cancer cells ? qRT-PCR and Westen blot analyses data,"Avtanski, Dimiter; Garcia, Anabel; Caraballo, Beatriz; Thangeswaran, Priyanthan; Marin, Sela; Bianco, Julianna; Lavi, Aaron; Poretsky, Leonid","Elsevier Science B.V., Amsterdam",2019
,75,"Thermal sensitivity analysis data utilizing Q10 scanning, Boltzmann slope factor and the change of molar heat capacity","Kang, KyeongJin","Elsevier Science B.V., Amsterdam",2016
,76,Mean-variance portfolio analysis data for optimizing community-based photovoltaic investment,"Shakouri, Mahmoud; Lee, Hyun Woo","Elsevier Science B.V., Amsterdam",2016
,77,Comprehensive data analysis of human ureter proteome,"Magdeldin, Sameh; Hirao, Yoshitoshi; El Guoshy, Amr; Xu, Bo; Zhang, Ying; Fujinaka, Hidehiko; Yamamoto, Keiko; Yates, John R.; Yamamoto, Tadashi","Elsevier Science B.V., Amsterdam",2016
,78,Global gene expression analysis data of chicken dendritic cells infected with H9N2 avian influenza virus,"Liu, Qingtao; Yang, Jing; Huang, Xinmei; Liu, Yuzhuo; Han, Kaikai; Zhao, Dongmin; Zhang, Lijiao; Li, Yin","Elsevier Science B.V., Amsterdam",2020
,79,"Hydro-geometrical data analyses of River Atuwara at Ado-Odo/Otta, Ogun State","Ogbiye, Adebanji S.; Onakunle, Olumuyiwa O.; Omole, David O.","Elsevier Science B.V., Amsterdam",2018
,80,"The whole genome sequence data analyses of a Mycobacterium tuberculosis strain SBH321 isolated in Sabah, Malaysia, belongs to Ural family of Lineage 4","Jani, Jaeyres; Mustapha, Zainal Arifin; Ling, Chin Kai; Hui, Amabel Seow Ming; Teo, Roddy; Ahmed, Kamruddin","Elsevier Science B.V., Amsterdam",2020
,81,"Data analysis of the U?Pb geochronology and Lu?Hf system in zircon and whole-rock Sr, Sm?Nd and Pb isotopic systems for the granitoids of Thailand","Dew, Romana E.C.; Nachtergaele, Simon; Collins, Alan S.; Glorie, Stijn; Foden, John; De Grave, Johan; Blades, Morgan L.; Morley, Christopher K.; Evans, Noreen J.; Alessio, Brandon L.; Kanjanapayont, Pitsanupong; King, Rosalind; Charusiri, Punya","Elsevier Science B.V., Amsterdam",2018
,82,Protein functional analysis data in support of comparative proteomics of the pathogenic black yeast Exophiala dermatitidis under different temperature conditions,"Tesei, Donatella; Marzban, Gorji; Marchetti-Deschmann, Martina; Tafer, Hakim; Arcalis, Elsa; Sterflinger, Katja","Elsevier Science B.V., Amsterdam",2015
,83,Data analysis and other considerations concerning the study of precipitation in Al?Mg?Si alloys by Atom Probe Tomography,"Zandbergen, M.W.; Xu, Q.; Cerezo, A.; Smith, G.D.W.","Elsevier Science B.V., Amsterdam",2015
,84,"Statistical data analysis of the risk factors of Neonatal Congenital Hypothyroidism in Khuzestan Province, Iran","Alimohamadi, Yousef; Taghdir, Maryam; Sepandi, Mojtaba","Elsevier Science B.V., Amsterdam",2018
,85,Data analysis and reduction using stationary solutions of the NLS equation,"Deconinck, B.; Lovit, D.",Taylor & Francis,2010
,86,"Physico-mechanical analysis data in support of compatibility of chitosan/κ-carrageenan polyelectrolyte films achieved by ascorbic acid, and the thermal degradation theory of κ-carrageenan influencing the properties of its blends","Shahbazi, Mahdiyar; Ettelaie, Rammile; Rajabzadeh, Ghadir","Elsevier Science B.V., Amsterdam",2016
,87,In silico data analyses of recombinases GdDMC1A and GdDMC1B from Giardia duodenalis,"Torres-Huerta, Ana Laura; Martinez-Miguel, Rosa Maria; Bazan-Tejeda, Maria Luisa; Bermudez-Cruz, Rosa Maria","Elsevier Science B.V., Amsterdam",2016
,88,Data analyses on temperature-dependent behaviour of water based drilling fluid rheological models,"Anawe, P.A.L.; Folayan, J. Adewale","Elsevier Science B.V., Amsterdam",2018
,89,Microstructure and chemical analysis data of polyurethane-silver nanoparticles/graphene nanoplates composite fibers,"Kim, Seung-Woo; Kwon, Sung-Nam; Na, Seok-In","Elsevier Science B.V., Amsterdam",2019
,90,Data analyses of honokiol-induced autophagy of human glioma cells in vitro and in vivo,"Wu, Gong-Jhe; Lin, Chien-Ju; Lin, Yung-Wei; Chen, Ruei-Ming","Elsevier Science B.V., Amsterdam",2016
,91,Statistical data analysis of cancer incidences in insurgency affected states in Nigeria,"Adamu, Patience I.; Oguntunde, Pelumi E.; Okagbue, Hilary I.; Agboola, Olasunmbo O.","Elsevier Science B.V., Amsterdam",2018
,92,Modeling and optimization data analysis on photocatalytic decolourization of amido black 10B using ZnO catalyst,"Pandey, Neha; Thakur, Chandrakant; Saluja, Simran; Ghosh, Prabir","Elsevier Science B.V., Amsterdam",2019
,93,Quantum yield and lifetime data analysis for the UV curable quantum dot nanocomposites,"Cheng, Qi; Liu, Cui; Wei, Wenjun; Xu, Heng; You, Qingliang; Zou, Linling; Liu, Xueqing; Liu, Jiyan; Cao, Yuan-Cheng; Zheng, Guang","Elsevier Science B.V., Amsterdam",2016
,94,Dynamic Mechanical Thermal Analysis Data of Sheets Made from Wood-Based Cellulose Fibers Partially Converted to Dialcohol Cellulose,"Linvill, Eric; Larsson, Per; Ostlund, Soren","Elsevier Science B.V., Amsterdam",2017
,95,Data analysis of PD-1 antibody in the treatment of melanoma patients,"Li, Ting; Zhang, Chao; Zhao, Gang; Zhang, Xinwei; Hao, Mengze; Hassan, Shafat; Zhang, Min; Zheng, Hong; Yang, Da; Liu, Liang; Mehraein-Ghomi, Farideh; Bai, Xu; Chen, Kexin; Zhang, Wei; Yang, Jilong","Elsevier Science B.V., Amsterdam",2020
,96,Data analysis system of a radiographic complex based on a LIA-2 accelerator,"Fatkin, G. A.",Springer Science + Business Media,2015
,97,In silico data analyses of recombinases GdDMC1A and GdDMC1B from Giardia duodenalis,"Torres-Huerta, Ana Laura; Martinez-Miguel, Rosa Maria; Bazan-Tejeda, Maria Luisa; Bermudez-Cruz, Rosa Maria","Elsevier Science B.V., Amsterdam",2016
,98,Data analysis without Fourier transformation for sawtooth-type temperature-modulated DSC,"Hu, W.; Wunderlich, B.",Kluwer; 1999,2001
,99,Transcriptomic data analysis and differential gene expression of antioxidant pathways in king penguin juveniles (Aptenodytes patagonicus) before and after acclimatization to marine life,"Rey, Benjamin; Degletagne, Cyril; Duchamp, Claude","Elsevier Science B.V., Amsterdam",2016
,100,Meta-analysis data of 104 renewable mini-grid projects for rural electrification,"Duran, A. Serasu; Sahinyazan, Feyza G.","Elsevier Science B.V., Amsterdam",2021
,1,The LC-QTOF-MS/MS analysis data of detected metabolites from the crude extract of Datura stramonium leaves,"Tapfuma, Kudzanai Ian; Mekuto, Lukhanyo; Makatini, Maya Mellisa; Mavumengwana, Vuyo","Elsevier Science B.V., Amsterdam",2019
,2,Data analysis in astrophysical imaging spectrography,"Rousset, A.",INTERNATIONAL SOCIETY FOR STEREOLOGY,1992
,3,Mass spectrometry and bioinformatics analysis data,"Dutta, Mainak; Subramani, Elavarasan; Taunk, Khushman; Gajbhiye, Akshada; Seal, Shubhendu; Pendharkar, Namita; Dhali, Snigdha; Ray, Chaitali Datta; Lodh, Indrani; Chakravarty, Baidyanath; Dasgupta, Swagata; Rapole, Srikanth; Chaudhury, Koel","Elsevier Science B.V., Amsterdam",2015
,4,Corrosion and microstructural analysis data for AISI 316L and AISI 347H stainless steels after exposure to a supercritical water environment,"Ruiz, A.; Timke, T.; van de Sande, A.; Heftrich, T.; Novotny, R.; Austin, T.","Elsevier Science B.V., Amsterdam",2016
,5,Expression analysis data of BCL11A and γ-globin genes in KU812 and KG-1?cell lines after CRISPR/Cas9-mediated BCL11A enhancer deletion,"Khosravi, Mohammad Ali; Abbasalipour, Maryam; Concordet, Jean-Paul; Berg, Johannes vom; Zeinali, Sirous; Arashkia, Arash; Buch, Thorsten; Karimipoor, Morteza","Elsevier Science B.V., Amsterdam",2020
,6,"Details on high frequency blood collection, data analysis, available material and patient characteristics in BIOMArCS","Boersma, Eric; Vroegindewey, Maxime M.; van den Berg, Victor J.; Asselbergs, Folkert W.; van der Harst, Pim; Kietselaer, Bas; Lenderink, Timo; Oude Ophuis, Anton J.; Umans, Victor A.W.M.; de Winter, Robbert J.; Oemrawsingh, Rohit M.; Akkerhuis, K. Martijn","Elsevier Science B.V., Amsterdam",2019
